accountType,description,deviceID,deviceToken,disabled,email,firstTimeUser,lastSignInTime,name,osType,phoneNumber,photoURL,profile,status,tenantId
enterprise,Administrator -North America,,,FALSE,QA1test01@Gmail.com,TRUE,,CHRISTA COSSS,,,,,Offline,
enterprise,Administrator -North America,,,FALSE,QA1test02@Gmail.com,TRUE,,David Pye,,,,,Offline,
enterprise,Administrator -North America,,,FALSE,QA1test03@Gmail.com,TRUE,,Enea Acconciamessa,,,,,Offline,
enterprise,Administrator -North America,,,FALSE,QA1test04@Gmail.com,TRUE,,scott adams,,,,,Offline,
enterprise,Administrator -North America,,,FALSE,QA1test05@Gmail.com,TRUE,,Lawrence Afolayan,,,,,Offline,
enterprise,Administrator -North America,,,FALSE,QA1test06@Import.com,TRUE,,Ruth Allaby,,,,,Offline,
enterprise,Administrator -North America,,,FALSE,QA1test07@Import.com,TRUE,,bettyjo Amirault,,,,,Offline,
enterprise,Administrator -North America,,,FALSE,QA1test08@Import.com,TRUE,,Moussa Arezki,,,,,Offline,
enterprise,Administrator -North America,,,FALSE,QA1test09@Import.com,TRUE,,airuh argosino,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test10@Import.com,TRUE,,Darrell Armstrong,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test11@Import.com,TRUE,,jason atkinson,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test12@Import.com,TRUE,,andre arongaus,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test13@Import.com,TRUE,,amira azha,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test14@Import.com,TRUE,,Oussama Azzouni,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test15@Import.com,TRUE,,Aliyu Bakare,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test16@Import.com,TRUE,,Janarthan Balakrish,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test17@Import.com,TRUE,,alicia barton,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test18@Import.com,TRUE,,Kathryn beale,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test19@Import.com,TRUE,,christian beaudoin,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test20@Import.com,TRUE,,arsene bokanga,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test21@Import.com,TRUE,,joseph boudrea,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test22@Import.com,TRUE,,Pamela Boyle,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test23@Import.com,TRUE,,Angela Branscombe,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test24@Import.com,TRUE,,debra buckley,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test25@Import.com,TRUE,,Garthur bungay,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test26@Import.com,TRUE,,lorraine butler,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test27@Import.com,TRUE,,jennifer calhoun,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test28@Import.com,TRUE,,robyn calvin,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test29@Import.com,TRUE,,devin campbell,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test30@Import.com,TRUE,,samantha.higgins,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test31@Import.com,TRUE,,jose castin,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test32@Import.com,TRUE,,danielle clarke,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test33@Import.com,TRUE,,conrad clements,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test34@Import.com,TRUE,,dillan cochran,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test35@Import.com,TRUE,,kim.codner,,,,,Offline,
enterprise,Executive -field ,,,FALSE,QA1test36@Import.com,TRUE,,Janice Colwell,,,,,Offline,
enterprise,Executive -field ,,,FALSE,QA1test37@Import.com,TRUE,,Bennett Comeau,,,,,Offline,
enterprise,Executive -field ,,,FALSE,QA1test38@Import.com,TRUE,,emma conradi,,,,,Offline,
enterprise,Executive -field ,,,FALSE,QA1test39@Import.com,TRUE,,Kathleen.Corcoran,,,,,Offline,
enterprise,Executive -field ,,,FALSE,QA1test40@Import.com,TRUE,,shaun crawford,,,,,Offline,
enterprise,Executive -field ,,,FALSE,QA1test41@Import.com,TRUE,,marjorie curtis,,,,,Offline,
enterprise,Executive -field ,,,FALSE,QA1test42@Import.com,TRUE,,doreen daley,,,,,Offline,
enterprise,Executive -field ,,,FALSE,QA1test43@Import.com,TRUE,,phillip dalling,,,,,Offline,
enterprise,Executive -field ,,,FALSE,QA1test44@Import.com,TRUE,,gloria deambrose,,,,,Offline,
enterprise,Executive -field ,,,FALSE,QA1test45@Import.com,TRUE,,Matthew DellaMalva,,,,,Offline,
enterprise,Executive -field ,,,FALSE,QA1test46@Import.com,TRUE,,Tom DeLong,,,,,Offline,
enterprise,Executive -field ,,,FALSE,QA1test47@Import.com,TRUE,,irene dempster,,,,,Offline,
enterprise,Executive -field ,,,FALSE,QA1test48@Import.com,TRUE,,mathieu desrosiers,,,,,Offline,
enterprise,Executive -field ,,,FALSE,QA1test49@Import.com,TRUE,,Lynn Dickie,,,,,Offline,
